Color,StartTime,StartDate,EndTime,EndDate,Duration,MyColor,MyStartTime,MyEndTime
Amber,00:05,28-Aug-16,00:30,28-Aug-16,00 25,Yellow,300000,1800000
Red,00:30,28-Aug-16,02:20,28-Aug-16,01 50,Red,1800000,8400000
Amber,02:20,28-Aug-16,03:30,28-Aug-16,01 10,Yellow,8400000,12600000
Amber,06:55,1-Sep-16,07:45,1-Sep-16,00 50,Yellow,24900000,27900000
Amber,11:45,9-Sep-16,13:20,9-Sep-16,01 35,Yellow,42300000,48000000
Amber,12:35,10-Sep-16,13:55,10-Sep-16,01 20,Yellow,45300000,50100000
Amber,05:25,1-Oct-16,05:55,1-Oct-16,00 30,Yellow,19500000,21300000
Red,05:55,1-Oct-16,07:00,1-Oct-16,01 05,Red,21300000,25200000
Amber,07:00,1-Oct-16,07:35,1-Oct-16,00 35,Yellow,25200000,27300000
Amber,15:25,18-Oct-16,18:15,18-Oct-16,02 50,Yellow,55500000,65700000
Amber,13:00,19-Oct-16,15:30,19-Oct-16,02 30,Yellow,46800000,55800000
Red,15:30,19-Oct-16,16:00,19-Oct-16,00 30,Red,55800000,57600000
Black,16:00,19-Oct-16,17:15,19-Oct-16,01 15,Black,57600000,62100000
Red,17:15,19-Oct-16,18:15,19-Oct-16,01 00,Red,62100000,65700000
Amber,18:15,19-Oct-16,19:30,19-Oct-16,01 15,Yellow,65700000,70200000
Amber,15:20,21-Apr-17,17:00,21-Apr-17,01 40,Yellow,55200000,61200000
Amber,09:40,4-May-17,12:10,4-May-17,02 30,Yellow,34800000,43800000
Amber,06:40,24-May-17,09:15,24-May-17,02 35,Yellow,24000000,33300000
Red,09:15,24-May-17,11:30,24-May-17,02 15,Red,33300000,41400000
Black,11:30,24-May-17,12:30,24-May-17,01 00,Black,41400000,45000000
Amber,12:30,24-May-17,15:00,24-May-17,02 30,Yellow,45000000,54000000
Amber,02:50,13-Jun-17,08:45,13-Jun-17,05 55,Yellow,10200000,31500000
Red,08:45,13-Jun-17,11:50,13-Jun-17,03 05,Red,31500000,42600000
Amber,11:50,13-Jun-17,12:30,13-Jun-17,00 40,Yellow,42600000,45000000
Amber,01:50,17-Jun-17,02:25,17-Jun-17,00 35,Yellow,6600000,8700000
Red,02:25,17-Jun-17,04:05,17-Jun-17,01 40,Red,8700000,14700000
Amber,20:40,17-Jun-17,22:15,17-Jun-17,01 35,Yellow,74400000,80100000
Amber,01:20,21-Jun-17,02:45,21-Jun-17,01 25,Yellow,4800000,9900000
Amber,15:15,17-Jul-17,19:15,17-Jul-17,04 00,Yellow,54900000,69300000
Amber,20:15,17-Jul-17,20:45,17-Jul-17,00 30,Yellow,72900000,74700000
Red,20:45,17-Jul-17,22:30,17-Jul-17,01 45,Red,74700000,81000000
